sensor_id,date,datetime_utc,datetime_local,value_avg,units,min,max,q25,median,q75,std,expected_count,observed_count,percent_complete,location_id,location_name,latitude,longitude,aqi,aqi_after_12h,actual_lag_hours,hour,day_of_week,month,year
7771,2017-02-25,2017-02-25 05:00:00+00:00,2017-02-25 05:00:00+00:00,19.9,kg,19.88,19.88,19.88,19.88,19.88,,1,1,100.0,,FR01009,49.2713919994693,6.1325,18.0,6.0,12.0,5,5,2,2017
7771,2017-02-25,2017-02-25 06:00:00+00:00,2017-02-25 06:00:00+00:00,0.0121,µg/m³,12.1,,12.1,12.1,,0.0,1,1,100.0,3498.0,FR01009,999.0,6.1325,11.0,11.0,12.0,6,5,2,2017
7771,2017-02-25,2017-02-25 07:00:00+00:00,2017-02-25 07:00:00+00:00,0.0121,µg/m³,12.1,12100.0,12100.0,12.1,,0.0,1,1,100.0,3498.0,FR01009,49.2713919994693,6.1325,11.0,11.0,12.0,7,5,2,2017
7771,2017-02-25,2017-02-25 08:00:00+00:00,2017-02-25 08:00:00+00:00,,µg/m³,12000.0,12.0,12.0,12.0,12.0,0.0,1,1,100.0,,FR01009,49.2713919994693,999.0,11.0,6.0,12.0,8,5,2,2017
7771,2017-02-25,2017-02-25 09:00:00+00:00,2017-02-25 09:00:00+00:00,12.0,kg,12.03,12.03,12.03,12030.0,,,1,1,100.0,3498.0,FR01009,999.0,999.0,11.0,6.0,12.0,9,5,2,2017
7771,2017-02-25,2017-02-25 10:00:00+00:00,2017-02-25 10:00:00+00:00,0.0131,µg/m³,13.1,13.1,,,13.1,,1,1,100.0,3498.0,FR01009,49.2713919994693,6.1325,12.0,22.0,12.0,10,5,2,2017
7771,2017-02-25,2017-02-25 11:00:00+00:00,2017-02-25 11:00:00+00:00,13.1,µg/m³,13.13,,13.13,13.13,13.13,,1,1,100.0,3498.0,FR01009,49.2713919994693,6.1325,12.0,22.0,12.0,11,5,2,2017
7771,2017-02-25,2017-02-25 12:00:00+00:00,2017-02-25 12:00:00+00:00,19.8,µg/m³,19.8,19.8,19.8,19.8,19.8,,un,uno,100.0,3498.0,FR01009,49.2713919994693,6.1325,18.0,29.0,12.0,12,5,2,2017
7771,2017-02-25,2017-02-25 13:00:00+00:00,2017-02-25 13:00:00+00:00,19.8,µg/m³,19.78,19.78,,19.78,19.78,0.0,1,1,100.0,3498.0,FR01009,49.2713919994693,6.1325,18.0,29.0,12.0,13,5,2,2017
7771,2017-02-25,2017-02-25 14:00:00+00:00,2017-02-25 14:00:00+00:00,11.1,kg,11.1,0.0111,11.1,11.1,11.1,,1,1,100.0,3498.0,FR01009,999.0,6.1325,10.0,22.0,12.0,14,5,2,2017
