sensor_id,date,datetime_utc,datetime_local,value_avg,parameter,units,min,max,q25,median,q75,std,expected_count,observed_count,percent_complete,location_id,location_name,latitude,longitude,aqi,aqi_after_12h,actual_lag_hours,hour,day_of_week,month,year
9837,2017-02-26,2017-02-26 05:00:00+00:00,2017-02-26 05:00:00+00:00,0.006200000000000001,no2,µg/m³,,6.2,6.2,,6.2,0.0,1,1,100.0,2707.0,Evreux Centre,49.02133999977332,1.1483189995666427,6.0,7.0,12.0,5,6,2,2017
9837,2017-02-26,2017-02-26 06:00:00+00:00,2017-02-26 06:00:00+00:00,7.7,no2,unknown,7.7,,7700.0,,7.7,0.0,1,1,100.0,2707.0,Evreux Centre,727.0,-727.0,7.0,10.0,12.0,6,6,2,2017
9837,2017-02-26,2017-02-26 07:00:00+00:00,2017-02-26 07:00:00+00:00,9.53,no2,µg/m³,,9.53,,9.53,9.53,,1,1,100.0,2707.0,Evreux Centre,49.02133999977332,1.1483189995666427,9.0,9.0,12.0,7,6,2,2017
9837,2017-02-26,2017-02-26 08:00:00+00:00,2017-02-26 08:00:00+00:00,8.63,no2,cm,8.63,,8630.0,8.63,,0.0,1,1,100.0,2707.0,Evreux Centre,49.02133999977332,1.1483189995666427,8.0,8.0,12.0,8,6,2,2017
9837,2017-02-26,2017-02-26 09:00:00+00:00,2017-02-26 09:00:00+00:00,8.8,no2,µg/m³,,8.8,,8.8,,0.0,1,uno,100.0,2707.0,Evreux Centre,-999.0,999.0,8.0,7.0,12.0,9,6,2,2017
9837,2017-02-26,2017-02-26 10:00:00+00:00,2017-02-26 10:00:00+00:00,8.13,no2,µg/m³,,8.13,8.13,8.13,8.13,,1,1,100.0,,Evreux Centre,49.02133999977332,-999.0,8.0,6.0,12.0,10,6,2,2017
9837,2017-02-26,2017-02-26 11:00:00+00:00,2017-02-26 11:00:00+00:00,,no2,µg/m³,7.05,7.05,,0.00705,7.05,0.0,1,uno,100.0,2707.0,Evreux Centre,49.02133999977332,1.1483189995666427,7.0,4.0,12.0,11,6,2,2017
9837,2017-02-26,2017-02-26 12:00:00+00:00,2017-02-26 12:00:00+00:00,6.85,no2,cm,6.85,6.85,6.85,6850.0,,0.0,1,1,100.0,2707.0,Evreux Centre,49.02133999977332,1.1483189995666427,6.0,3.0,12.0,12,6,2,2017
9837,2017-02-26,2017-02-26 13:00:00+00:00,2017-02-26 13:00:00+00:00,6.25,no2,µg/m³,6.25,6.25,6250.0,0.00625,,,1,1,100.0,2707.0,Evreux Centre,49.02133999977332,1.1483189995666427,6.0,3.0,12.0,13,6,2,2017
9837,2017-02-26,2017-02-26 14:00:00+00:00,2017-02-26 14:00:00+00:00,5.6,no2,µg/m³,5.6,,5.6,5.6,,0.0,1,1,100.0,2707.0,Evreux Centre,-727.0,1.1483189995666427,5.0,3.0,12.0,14,6,2,2017
9837,2017-02-26,2017-02-26 15:00:00+00:00,2017-02-26 15:00:00+00:00,7.35,no2,µg/m³,0.00735,,7.35,7.35,7350.0,0.0,1,1,100.0,2707.0,Evreux Centre,49.02133999977332,1.1483189995666427,7.0,2.0,12.0,15,6,2,2017
9837,2017-02-26,2017-02-26 16:00:00+00:00,2017-02-26 16:00:00+00:00,6.88,no2,cm,6.88,,6880.0,6.88,6.88,0.0,1,1,100.0,2707.0,Evreux Centre,49.02133999977332,-727.0,6.0,2.0,12.0,16,6,2,2017
9837,2017-02-26,2017-02-26 17:00:00+00:00,2017-02-26 17:00:00+00:00,,no2,µg/m³,7.85,,7.85,,7.85,0.0,1,1,100.0,2707.0,Evreux Centre,49.02133999977332,1.1483189995666427,7.0,3.0,12.0,17,6,2,2017
9837,2017-02-26,2017-02-26 18:00:00+00:00,2017-02-26 18:00:00+00:00,10.1,no2,µg/m³,10.05,10.05,0.010050000000000002,,10.05,0.0,1,1,100.0,2707.0,Evreux Centre,49.02133999977332,-999.0,10.0,4.0,12.0,18,6,2,2017
